Time,Action,ID,ArrivalTime,RemainingExecutionTime,Deadline,Failed
0,run,0,0,1,4,-1
1,finish,0,0,0,4,0
1,schedule,0,4,1,8,-1
1,run,1,0,2,6,-1
3,finish,1,0,0,6,0
3,schedule,1,6,2,12,-1
3,run,2,0,3,8,-1
6,finish,2,0,0,8,0
6,schedule,2,8,3,16,-1
6,run,0,4,1,8,-1
7,finish,0,4,0,8,0
7,schedule,0,8,1,12,-1
7,run,1,6,2,12,-1
9,finish,1,6,0,12,0
9,schedule,1,12,2,18,-1
9,run,0,8,1,12,-1
10,finish,0,8,0,12,0
10,schedule,0,12,1,16,-1
10,run,2,8,3,16,-1
13,finish,2,8,0,16,0
13,schedule,2,16,3,24,-1
13,run,0,12,1,16,-1
14,finish,0,12,0,16,0
14,schedule,0,16,1,20,-1
14,run,1,12,2,18,-1
16,finish,1,12,0,18,0
16,schedule,1,18,2,24,-1
16,run,0,16,1,20,-1
17,finish,0,16,0,20,0
17,schedule,0,20,1,24,-1
17,run,2,16,3,24,-1
20,finish,2,16,0,24,0
20,schedule,2,24,3,32,-1
20,run,0,20,1,24,-1
21,finish,0,20,0,24,0
21,schedule,0,24,1,28,-1
21,run,1,18,2,24,-1
23,finish,1,18,0,24,0
23,schedule,1,24,2,30,-1
24,IDLE,-1,-1,-1,-1,-1
24,timeout,-1,-1,-1,-1,-1
